Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,10240,5652,24273,29108,31661,154,33546,16.100%,32.62590,5606.95,9.93
TOTAL,2000,10240,5652,24273,29108,31661,154,33546,16.100%,32.62590,5606.95,9.93
