Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,400,2943,1073,8148,8903,15712,29,15820,6.500%,20.18367,3561.36,6.17
TOTAL,400,2943,1073,8148,8903,15712,29,15820,6.500%,20.18367,3561.36,6.17
