Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,40,931,766,2035,2075,2078,135,2078,22.500%,9.38967,1402.95,2.87
TOTAL,40,931,766,2035,2075,2078,135,2078,22.500%,9.38967,1402.95,2.87
