Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,400,2990,2078,5492,6080,7623,377,8937,16.750%,24.44838,3657.86,7.47
TOTAL,400,2990,2078,5492,6080,7623,377,8937,16.750%,24.44838,3657.86,7.47
