Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,11550,6262,26179,27796,30850,198,32487,18.700%,29.35823,4557.46,8.97
TOTAL,2000,11550,6262,26179,27796,30850,198,32487,18.700%,29.35823,4557.46,8.97
