Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,40,1850,771,7955,10373,10472,68,10472,35.000%,3.15906,1028.00,0.93
TOTAL,40,1850,771,7955,10373,10472,68,10472,35.000%,3.15906,1028.00,0.93
