Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1784,21969,17298,42157,44506,61163,157,85151,41.256%,13.92749,4570.38,4.10
TOTAL,1784,21969,17298,42157,44506,61163,157,85151,41.256%,13.92749,4570.38,4.10
