Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,13048,9969,22936,25410,28366,57,41158,22.800%,31.08969,2666.41,9.13
TOTAL,2000,13048,9969,22936,25410,28366,57,41158,22.800%,31.08969,2666.41,9.13
