Label,# Samples,Average,Median,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,10110,5792,1381,42798,11.55%,35.10188,4785.31,10.73
TOTAL,2000,10110,5792,1381,42798,11.55%,35.10188,4785.31,10.73
