Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,40,273,136,761,913,1111,31,1111,0.000%,20.08032,2611.15,6.14
TOTAL,40,273,136,761,913,1111,31,1111,0.000%,20.08032,2611.15,6.14
