Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,400,3363,1447,9312,10751,11655,178,11891,9.250%,16.88761,3656.18,5.16
TOTAL,400,3363,1447,9312,10751,11655,178,11891,9.250%,16.88761,3656.18,5.16
