Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,40,2873,462,11760,12002,12128,120,12128,22.500%,2.86266,619.60,0.88
TOTAL,40,2873,462,11760,12002,12128,120,12128,22.500%,2.86266,619.60,0.88
