Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,400,3954,2115,10159,10989,12479,222,13587,12.750%,17.71322,2006.22,5.41
TOTAL,400,3954,2115,10159,10989,12479,222,13587,12.750%,17.71322,2006.22,5.41
