Label,# Samples,Average,Median,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,10827,6838,1630,34574,11.70%,32.86555,3830.78,10.05
TOTAL,2000,10827,6838,1630,34574,11.70%,32.86555,3830.78,10.05
