Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,400,4153,1948,9592,10916,12534,84,14848,16.250%,17.78331,4169.15,5.24
TOTAL,400,4153,1948,9592,10916,12534,84,14848,16.250%,17.78331,4169.15,5.24
