Label,# Samples,Average,Median,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,31156,4329,111,71093,"10,25%",14.10703,4569.83,4.16
TOTAL,2000,31156,4329,111,71093,"10,25%",14.10703,4569.83,4.16
