Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2000,10637,4471,34101,42366,50992,171,56098,13.400%,31.45198,6347.29,9.61
TOTAL,2000,10637,4471,34101,42366,50992,171,56098,13.400%,31.45198,6347.29,9.61
