Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,400,2992,1530,8012,9240,10230,310,10630,13.750%,23.82796,4685.21,7.28
TOTAL,400,2992,1530,8012,9240,10230,310,10630,13.750%,23.82796,4685.21,7.28
